Id,CreationDate,Score,ViewCount,Tags,AnswerCount,CommentCount,FavoriteCount
"87391","2021-01-01 03:10:42","1","25","<decision-trees>","1","0",""
"87392","2021-01-01 07:28:07","0","12","<machine-learning><python><deep-learning><image-classification><image-preprocessing>","1","0",""
"87393","2021-01-01 08:07:33","1","14","<neural-network><deep-learning><inception>","0","0",""
"87395","2021-01-01 10:31:51","1","34","<machine-learning><cloud><federated-learning>","1","3","1"
"87404","2021-01-01 18:00:21","1","38","<reinforcement-learning><openai-gym>","1","0",""
"87405","2021-01-01 18:18:01","2","26","<optimization><categorical-data><parameter-estimation>","0","0",""
"87406","2021-01-01 18:26:41","0","797","<python><pandas><jupyter><kernel>","0","2",""
"87407","2021-01-01 18:57:51","0","13","<data>","0","0",""
"87409","2021-01-01 20:56:35","0","27","<r><experiments>","0","1",""
"87412","2021-01-01 22:39:38","0","9","<deep-learning><cnn><computer-vision><transfer-learning><learning-rate>","0","0",""
"87413","2021-01-02 01:21:52","1","88","<neural-network><deep-learning><cnn><lstm><rnn>","0","0",""
"87414","2021-01-02 08:21:41","-1","37","<accuracy><metric><loss>","1","2","1"
"87416","2021-01-02 10:57:58","1","30","<machine-learning><regression><cnn>","0","1",""
"87417","2021-01-02 11:06:52","1","48","<visualization><graphs><tableau><powerbi>","1","0",""
"87418","2021-01-02 11:27:28","-1","23","<python><matplotlib><text>","1","0",""
"87421","2021-01-02 13:17:23","0","12","<hyperparameter-tuning><generative-models>","0","0",""
"87422","2021-01-02 13:36:35","1","23","<clustering>","1","0",""
"87424","2021-01-02 16:06:39","0","18","<tensorflow><object-detection><object-detection-api>","0","0",""
"87425","2021-01-02 16:15:43","0","72","<regression><xgboost>","0","0",""
"87427","2021-01-02 18:27:58","0","10","<neural-network>","0","0",""
"87430","2021-01-02 23:04:15","1","25","<machine-learning><deep-learning><decision-trees><data-science-model>","0","0",""
"87432","2021-01-02 23:22:51","1","341","<scikit-learn><accuracy><metric>","1","0",""
"87435","2021-01-03 03:33:54","0","13","<distribution><gbm><lightgbm>","0","1",""
"87437","2021-01-03 04:07:36","1","182","<clustering><k-means><python-3.x><seaborn>","1","0",""
"87438","2021-01-03 04:55:11","-1","31","<scikit-learn><dataset>","1","1",""
"87442","2021-01-03 09:42:07","3","86","<machine-learning><hyperparameter-tuning><k-nn>","3","0","0"
"87445","2021-01-03 11:29:44","0","8","<python><deep-learning><time-series>","0","0",""
